               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.038426,             0.01229,           0.0099457,             0.65321,              0.7799,             0.83143,             0.34254,            0.033945,           0.0052578,            0.034912,            0.007624,            0.007624,            0.007624
                  38,            0.036011,            0.012131,           0.0081965,             0.78252,             0.77333,             0.86576,             0.32368,            0.038592,           0.0058309,             0.02305,            0.007558,            0.007558,            0.007558
                  39,            0.035715,            0.012854,           0.0080447,             0.63997,             0.59333,             0.61945,             0.14267,             0.05209,           0.0061091,            0.016085,            0.007492,            0.007492,            0.007492
                  40,            0.035239,            0.014325,           0.0082407,             0.66374,             0.57329,             0.54215,             0.20855,            0.039432,           0.0063602,            0.070953,            0.007426,            0.007426,            0.007426
                  41,            0.034002,            0.012551,           0.0099634,             0.85493,             0.66836,             0.75916,             0.21344,            0.047523,           0.0055615,            0.023369,             0.00736,             0.00736,             0.00736
                  42,            0.037565,             0.01196,            0.010485,             0.64853,             0.62112,             0.62859,             0.14619,            0.051439,           0.0059324,            0.026239,            0.007294,            0.007294,            0.007294
                  43,            0.037522,            0.013342,            0.010244,             0.82586,             0.83215,             0.83222,             0.26837,            0.038452,           0.0057758,            0.017114,            0.007228,            0.007228,            0.007228
                  44,            0.034018,            0.012735,            0.011692,              0.8299,               0.836,             0.87323,             0.28496,            0.039414,           0.0050707,            0.026032,            0.007162,            0.007162,            0.007162
                  45,            0.033221,            0.012369,           0.0091321,             0.66951,              0.7586,             0.74471,             0.31216,            0.039183,           0.0060492,            0.032624,            0.007096,            0.007096,            0.007096
                  46,            0.033931,            0.013291,           0.0092352,             0.67624,             0.89312,             0.79365,              0.2448,            0.044934,            0.005719,            0.029312,             0.00703,             0.00703,             0.00703
                  47,            0.034122,            0.012399,           0.0083202,             0.88424,              0.6092,             0.83385,             0.21852,            0.040124,           0.0055264,            0.027793,            0.006964,            0.006964,            0.006964
                  48,            0.033534,            0.012581,            0.009069,             0.71386,             0.80033,             0.80648,             0.24373,            0.042464,           0.0051452,             0.03687,            0.006898,            0.006898,            0.006898
                  49,            0.035975,            0.011955,            0.010058,             0.78193,             0.80375,             0.82239,             0.39304,             0.03013,           0.0046643,            0.046011,            0.006832,            0.006832,            0.006832
                  50,            0.035171,            0.012273,           0.0092454,             0.81182,             0.79822,              0.8202,             0.39891,            0.033026,           0.0046184,            0.049284,            0.006766,            0.006766,            0.006766
                  51,            0.036861,            0.011119,           0.0091294,             0.83817,             0.89333,             0.86875,             0.28114,            0.044909,           0.0048547,            0.026713,              0.0067,              0.0067,              0.0067
                  52,            0.034323,            0.012956,           0.0097175,             0.81047,             0.84629,             0.83423,             0.37879,            0.037841,           0.0046765,            0.053783,            0.006634,            0.006634,            0.006634
                  53,            0.032491,            0.012475,           0.0078252,              0.8191,             0.82462,             0.84508,             0.28463,            0.042401,           0.0050443,            0.038127,            0.006568,            0.006568,            0.006568
                  54,            0.031507,            0.011982,           0.0076187,             0.79385,             0.81291,             0.87038,              0.2999,            0.041215,            0.005296,            0.023393,            0.006502,            0.006502,            0.006502
                  55,            0.031369,            0.011451,            0.011475,              0.8264,             0.82793,             0.83972,             0.38483,             0.03528,           0.0048855,            0.041846,            0.006436,            0.006436,            0.006436
                  56,             0.03354,            0.010902,           0.0094507,             0.73397,             0.81333,             0.82147,             0.37657,            0.038713,           0.0046591,            0.056895,             0.00637,             0.00637,             0.00637
                  57,            0.032654,            0.011659,           0.0098177,             0.71439,             0.60303,             0.63954,             0.13871,             0.04556,           0.0056702,             0.05787,            0.006304,            0.006304,            0.006304
                  58,            0.032875,             0.01252,           0.0084476,                0.83,             0.81752,               0.856,             0.44356,             0.03404,           0.0049905,            0.026332,            0.006238,            0.006238,            0.006238
                  59,            0.029845,            0.011304,           0.0082801,             0.73205,             0.64031,             0.66376,             0.24793,            0.044365,           0.0056248,            0.020369,            0.006172,            0.006172,            0.006172
                  60,            0.033067,             0.01209,             0.01105,             0.75335,              0.7732,             0.75389,             0.34774,            0.035037,           0.0057522,            0.019953,            0.006106,            0.006106,            0.006106
                  61,             0.02939,            0.010564,           0.0086281,             0.65544,             0.85267,             0.85511,             0.33099,            0.039678,           0.0058833,            0.019145,             0.00604,             0.00604,             0.00604
                  62,            0.031351,            0.012306,           0.0091988,             0.79273,             0.85326,             0.86328,             0.35869,            0.034714,            0.005125,            0.018265,            0.005974,            0.005974,            0.005974
                  63,            0.031017,            0.011551,           0.0088806,             0.82026,             0.81326,             0.80845,             0.33901,            0.039587,           0.0054659,            0.016321,            0.005908,            0.005908,            0.005908
                  64,            0.029745,            0.010909,           0.0074207,             0.66127,             0.82527,             0.82801,             0.29499,            0.039314,           0.0051655,            0.017026,            0.005842,            0.005842,            0.005842
                  65,              0.0315,            0.011952,           0.0075839,             0.71272,             0.88696,             0.87199,             0.42554,            0.029833,           0.0046735,            0.017939,            0.005776,            0.005776,            0.005776
                  66,            0.029775,            0.011951,           0.0083889,             0.56894,              0.7458,             0.64671,             0.25312,            0.036351,           0.0052926,            0.034543,             0.00571,             0.00571,             0.00571
                  67,            0.030038,            0.011789,           0.0089746,             0.74037,             0.73333,             0.81799,             0.30256,              0.0399,           0.0048604,            0.022313,            0.005644,            0.005644,            0.005644
                  68,            0.028295,            0.011362,            0.010767,             0.91591,              0.6926,             0.79514,             0.25595,            0.041212,           0.0055062,            0.022872,            0.005578,            0.005578,            0.005578
                  69,            0.031809,            0.012059,           0.0099865,             0.92024,             0.77272,             0.89817,              0.2723,            0.044081,           0.0052938,            0.010187,            0.005512,            0.005512,            0.005512
                  70,            0.030847,            0.010447,           0.0082389,             0.86051,             0.85335,             0.90762,             0.31818,            0.039177,           0.0052547,            0.029043,            0.005446,            0.005446,            0.005446
                  71,            0.029825,            0.011817,           0.0082507,             0.94049,             0.89333,              0.9189,             0.44088,             0.03135,            0.004716,            0.010409,             0.00538,             0.00538,             0.00538
                  72,            0.029579,            0.011357,           0.0085842,             0.92244,              0.8789,               0.918,             0.34483,            0.038747,           0.0048498,            0.012898,            0.005314,            0.005314,            0.005314
                  73,            0.029014,            0.011512,           0.0090374,             0.89219,             0.77266,             0.90592,             0.35413,            0.035425,           0.0049862,            0.037949,            0.005248,            0.005248,            0.005248
                  74,             0.02865,            0.011706,           0.0076712,             0.97908,              0.8236,             0.92618,             0.37257,            0.036444,             0.00486,            0.010218,            0.005182,            0.005182,            0.005182
                  75,            0.030819,            0.010833,           0.0087206,             0.93447,             0.83159,             0.92618,             0.39192,            0.034007,           0.0046648,            0.014916,            0.005116,            0.005116,            0.005116
                  76,            0.027577,              0.0115,           0.0065106,             0.69221,             0.81342,             0.85582,             0.43268,            0.032685,           0.0048629,            0.027654,             0.00505,             0.00505,             0.00505
                  77,            0.029024,            0.010671,           0.0066943,             0.79657,              0.7577,             0.84736,             0.33374,             0.03874,           0.0047982,            0.030661,            0.004984,            0.004984,            0.004984
                  78,            0.028358,            0.010798,           0.0089832,             0.60536,             0.84945,             0.79529,             0.29131,            0.043963,           0.0048417,            0.057159,            0.004918,            0.004918,            0.004918
                  79,            0.029615,            0.010816,           0.0076583,              0.9648,             0.86253,             0.92857,             0.48194,            0.030143,           0.0045268,           0.0067973,            0.004852,            0.004852,            0.004852
